"tweet_id","date","screen_name","text"
"ID_1067283046251020288","Tue Nov 27 05:04:42 +0000 2018","BlackPhysicists","GuacaMol: Benchmarking Models for De Novo Molecular Design. (arXiv:1811.09621v1 [q-bio.QM]) https://t.co/fzPw7Ety2K #chemicalphysics"
"ID_1067282664703623169","Tue Nov 27 05:03:11 +0000 2018","avijit9d","RT @adityaarun1: Our paper on Weakly Supervised Object Detection is out on Arxiv. 🙂 https://t.co/8eGG4gDFEI"
"ID_1067282849013723137","Tue Nov 27 05:03:55 +0000 2018","prototechno","RT @rezoolab: 論文をarXivに投稿しました．内容はサイズの大きいサンプルを扱うGANを効率的に学習する手法の提案．複数のsubsampling layerを用いて高解像度のGANモデルが学習可能に．これを用いた高解像度動画モデルも新しく提案，結果として従来手法を…"
"ID_1067283393493241856","Tue Nov 27 05:06:04 +0000 2018","ErmiaBivatan","RT @RogerGrosse: arXiv: https://t.co/1XqlPXRErF
project page: https://t.co/dUIaMzk4p4"
"ID_1067283958587523072","Tue Nov 27 05:08:19 +0000 2018","qazbnm456","RT @ThuanpvNus: Smart Greybox Fuzzing paper is now available on Arxiv https://t.co/YBL54UbXLM. Key idea: structural and bit-level mutations…"
"ID_1067284192256417792","Tue Nov 27 05:09:15 +0000 2018","sla","RT @quolc: PFNでのインターンシップで研究していた、生成モデルを用いた意味的画像編集に関する論文をarXivにアップしました。CNN中間表現でのコラージュにより、多様な編集を直感的操作で実現する手法を提案しています。PFN小山さん、宮戸さん、米辻さんとの共同執筆です…"
"ID_1067284573942247425","Tue Nov 27 05:10:46 +0000 2018","mr_konn","RT @quolc: PFNでのインターンシップで研究していた、生成モデルを用いた意味的画像編集に関する論文をarXivにアップしました。CNN中間表現でのコラージュにより、多様な編集を直感的操作で実現する手法を提案しています。PFN小山さん、宮戸さん、米辻さんとの共同執筆です…"
"ID_1067284658105319424","Tue Nov 27 05:11:06 +0000 2018","arXiv_math_NA","RT @arXiv_math_DS: https://t.co/UZwFJQBet8
J Desai  A Marathe
Natural response of non-smooth oscillators using homotopy analysis
  combined…"
"ID_1067284689780711424","Tue Nov 27 05:11:13 +0000 2018","arXiv_math_ph","RT @arXiv_math_SP: https://t.co/GDofRYPXkQ
J Bourgain  I Kachkovskiy
Anderson localization for two interacting quasiperiodic particles http…"
"ID_1067284697384976384","Tue Nov 27 05:11:15 +0000 2018","arxiv_math_GN","RT @arXiv_math_GT: https://t.co/5rebIMP2jT
A Pourkia
A new $n$ dimensional representation of Artin braid group $B_n https://t.co/AzVknLkWaM"
"ID_1067284738849861632","Tue Nov 27 05:11:25 +0000 2018","arXiv_math_DS","RT @arXiv_math_NT: https://t.co/4BMUHaraQt
A Strömbergsson  P Vishe
An effective equidistribution result for $SL(2 R)\ltimes(R^2)^{\oplus…"
"ID_1067284753672486913","Tue Nov 27 05:11:29 +0000 2018","arXiv_math_OA","RT @arXiv_math_KT: https://t.co/vMfpi77e1Q
Y C Chung  P W Nowak
Expanders are counterexamples to the coarse $p$-Baum-Connes conjecture http…"
"ID_1067284754565869569","Tue Nov 27 05:11:29 +0000 2018","arXiv_math_MG","RT @arXiv_math_KT: https://t.co/vMfpi77e1Q
Y C Chung  P W Nowak
Expanders are counterexamples to the coarse $p$-Baum-Connes conjecture http…"
"ID_1067284797419065344","Tue Nov 27 05:11:39 +0000 2018","arXiv_math_PR","RT @arXiv_math_ph: https://t.co/rpYmbVkL92
P V Soosten  S Warzel
Delocalization and continuous spectrum for ultrametric random operators ht…"
"ID_1067284798597672960","Tue Nov 27 05:11:39 +0000 2018","arXiv_math_SP","RT @arXiv_math_ph: https://t.co/rpYmbVkL92
P V Soosten  S Warzel
Delocalization and continuous spectrum for ultrametric random operators ht…"
"ID_1067284807368024064","Tue Nov 27 05:11:41 +0000 2018","arXiv_math_FA","RT @arXiv_math_OA: https://t.co/W9oz1xCgKt
S Youn
Sobolev embedding properties on compact matrix quantum groups of Kac
  type https://t.co/…"
"ID_1067284837629943808","Tue Nov 27 05:11:49 +0000 2018","arXiv_math_MG","RT @arXiv_math_PR: https://t.co/AuJi4UnOnr
Z Kabluchko
An infinite-dimensional helix invariant under spherical projections https://t.co/g84…"
"ID_1067284873554116614","Tue Nov 27 05:11:57 +0000 2018","arXiv_math_DS","RT @arXiv_math_NA: https://t.co/w9m6ROTGMO
S Noeiaghdam et. al.
Control of accuracy on Taylor-collocation method to solve the weakly
  regu…"
"ID_1067284883943424005","Tue Nov 27 05:12:00 +0000 2018","arXiv_math_RA","RT @arXiv_math_RT: https://t.co/Zfn0WNU3XH
J A O Arango  N E Rojas
The Automorphisms group of a Current Lie algebra https://t.co/V9460kYQU0"
"ID_1067284885382025216","Tue Nov 27 05:12:00 +0000 2018","arXiv_math_AC","RT @arXiv_math_RT: https://t.co/Zfn0WNU3XH
J A O Arango  N E Rojas
The Automorphisms group of a Current Lie algebra https://t.co/V9460kYQU0"
"ID_1067285020207955968","Tue Nov 27 05:12:32 +0000 2018","arXiv_math_ph","RT @arXiv_quant_ph: https://t.co/Q7op4UjHMH
M Heinze  M Keyl
Controllability of the Jaynes-Cummings-Hubbard model https://t.co/dvsJhLdKs4"
"ID_1067285087497175040","Tue Nov 27 05:12:48 +0000 2018","arXiv_math_ph","RT @arXiv_quant_ph: https://t.co/d4JvAgojEU
S Gudder
Toy Models for Quantum Field Theory https://t.co/soPw8k1xmK"
"ID_1067285162277445633","Tue Nov 27 05:13:06 +0000 2018","arXiv_math_OA","RT @arXiv_quant_ph: https://t.co/1IMsnaPPVG
D W Kribs et. al.
Quantum Complementarity and Operator Structures https://t.co/8gOEzgeGk8"
"ID_1067285207588528129","Tue Nov 27 05:13:17 +0000 2018","arXiv_math_ph","RT @arXiv_quant_ph: https://t.co/fxCNVtW8Tn
K Bradler et. al.
Nonnegativity for hafnians of certain matrices https://t.co/yqzb4Fwgu3"
"ID_1067285208632840192","Tue Nov 27 05:13:17 +0000 2018","arXiv_math_CO","RT @arXiv_quant_ph: https://t.co/fxCNVtW8Tn
K Bradler et. al.
Nonnegativity for hafnians of certain matrices https://t.co/yqzb4Fwgu3"
"ID_1067285209647857665","Tue Nov 27 05:13:17 +0000 2018","arXiv_math_NT","RT @arXiv_quant_ph: https://t.co/fxCNVtW8Tn
K Bradler et. al.
Nonnegativity for hafnians of certain matrices https://t.co/yqzb4Fwgu3"
"ID_1067285221232599040","Tue Nov 27 05:13:20 +0000 2018","arXiv_math_ph","RT @arXiv_quant_ph: https://t.co/GP1f90poni
M Mosonyi  T Ogawa
Divergence radii and the strong converse exponent of classical-quantum
  cha…"
"ID_1067285221962383360","Tue Nov 27 05:13:20 +0000 2018","arXiv_cs_IT","RT @arXiv_quant_ph: https://t.co/GP1f90poni
M Mosonyi  T Ogawa
Divergence radii and the strong converse exponent of classical-quantum
  cha…"
"ID_1067285398970396673","Tue Nov 27 05:14:02 +0000 2018","arXiv_math_ph","RT @arXiv_hep_th: https://t.co/fnc8lFMJ7l
F Bugini  D E Díaz
Holographic Weyl anomaly for GJMS operators: one Laplacian to rule them
  all…"
"ID_1067285465454321664","Tue Nov 27 05:14:18 +0000 2018","arXiv_hep_ph","RT @arXiv_hep_th: https://t.co/doCZHLMNT0
V D Duca et. al.
All two-loop MHV remainder functions in multi-Regge kinematics https://t.co/Mceg…"
"ID_1067285568323768320","Tue Nov 27 05:14:43 +0000 2018","arxiv_flying","#NAACL2019 Sequence Generation with Guider Network. (arXiv:1811.00696v1 [cs\.CL]) https://t.co/kAGBArUKpu"
"ID_1067285741946970112","Tue Nov 27 05:15:24 +0000 2018","arXiv_hep_th","RT @arXiv_hep_ph: https://t.co/7qZw1xtPRp
S Rusak
Destabilization of the EW vacuum in non-minimally coupled inflation https://t.co/ukm1PA2Y…"
"ID_1067285797873876993","Tue Nov 27 05:15:38 +0000 2018","arXiv_hep_th","RT @arXiv_hep_ph: https://t.co/sHaXo7mCsx
D C Duarte et. al.
Regularization issues for a cold and dense quark matter model in
  $β-$equilib…"
